2,0
2018-12-06-14:19:29.74157,22.68,53.296
2018-12-06-14:19:30.74190,22.63,53.213
2018-12-06-14:19:31.74274,22.67,53.127
2018-12-06-14:19:32.74375,22.67,52.957
2018-12-06-14:19:33.74500,22.68,52.883
2018-12-06-14:19:34.74531,22.64,52.876
2018-12-06-14:19:35.75423,22.67,52.75
2018-12-06-14:19:36.75498,22.63,52.682
2018-12-06-14:19:37.75589,22.63,52.649
2018-12-06-14:19:38.75618,22.63,52.549
2018-12-06-14:19:39.75739,22.63,52.497
2018-12-06-14:19:40.75753,22.63,52.495
2018-12-06-14:19:41.75863,22.63,52.487
2018-12-06-14:19:42.77423,22.67,52.449
2018-12-06-14:19:43.77765,22.67,52.403
2018-12-06-14:19:44.78456,22.67,52.371
2018-12-06-14:19:45.78498,22.67,52.282
2018-12-06-14:19:46.78532,22.67,52.186
2018-12-06-14:19:47.78570,22.68,52.137
2018-12-06-14:19:48.78596,22.73,52.121
2018-12-06-14:19:49.78631,22.78,52.101
2018-12-06-14:19:50.78676,22.73,52.068
2018-12-06-14:19:51.78704,22.73,52.063
2018-12-06-14:19:52.78732,22.73,52.0
2018-12-06-14:19:53.78836,22.73,51.882
2018-12-06-14:19:54.78941,22.73,51.831
2018-12-06-14:19:55.79042,22.72,51.783
2018-12-06-14:19:56.79111,22.73,51.671
2018-12-06-14:19:57.79191,22.68,51.549
2018-12-06-14:19:58.79234,22.67,51.471
2018-12-06-14:19:59.79357,22.67,51.421
2018-12-06-14:20:00.79398,22.67,51.309
2018-12-06-14:20:01.79492,22.63,51.234
2018-12-06-14:20:02.79531,22.68,51.161
2018-12-06-14:20:03.79628,22.63,51.046
2018-12-06-14:20:04.79860,22.63,50.989
2018-12-06-14:20:05.79893,22.67,50.949
2018-12-06-14:20:06.80385,22.68,50.768
2018-12-06-14:20:07.80707,22.63,50.642
2018-12-06-14:20:08.80732,22.67,50.556
2018-12-06-14:20:09.80803,22.67,50.531
2018-12-06-14:20:10.80859,22.67,50.448
2018-12-06-14:20:11.80898,22.68,50.402
2018-12-06-14:20:12.80932,22.67,50.367
2018-12-06-14:20:13.81019,22.68,50.304
