2,0,
2018-12-06-14:12:04.54887,96.538138,101.432
2018-12-06-14:12:05.55516,96.200072,101.109
2018-12-06-14:12:06.56246,96.054356,100.914
2018-12-06-14:12:07.56882,95.860952,100.72
2018-12-06-14:12:08.58112,95.713648,100.505
2018-12-06-14:12:09.59090,95.377972,100.07
2018-12-06-14:12:10.59723,95.182712,99.848
2018-12-06-14:12:11.60854,95.036996,99.657
2018-12-06-14:12:12.61489,94.889692,99.422
2018-12-06-14:12:13.61527,95.32207,99.133
2018-12-06-14:12:14.61562,96.398246,99.477
2018-12-06-14:12:15.61585,97.471248,100.185
2018-12-06-14:12:16.61630,98.345278,101.037
2018-12-06-14:12:17.61746,99.22514,102.487
2018-12-06-14:12:18.61850,99.3743,103.014
2018-12-06-14:12:19.61899,99.513656,103.393
2018-12-06-14:12:20.61932,99.565054,103.876
2018-12-06-14:12:21.61972,99.571678,104.025
2018-12-06-14:12:22.62005,99.616982,104.124
2018-12-06-14:12:23.62060,99.611154,104.252
2018-12-06-14:12:24.62302,99.668116,104.291
2018-12-06-14:12:25.62405,99.66785,104.301
2018-12-06-14:12:26.62508,99.66838,104.314
2018-12-06-14:12:27.62564,99.661226,104.314
2018-12-06-14:12:28.62641,99.664936,104.295
2018-12-06-14:12:29.62653,99.655134,104.266
2018-12-06-14:12:30.63112,99.654074,104.223
2018-12-06-14:12:31.63308,99.66944,104.205
2018-12-06-14:12:32.63344,99.668116,104.186
2018-12-06-14:12:33.63409,99.656988,104.162
2018-12-06-14:12:34.63443,99.663082,104.092
2018-12-06-14:12:35.63478,99.628904,104.083
2018-12-06-14:12:36.63511,99.661492,104.035
2018-12-06-14:12:37.63551,99.617248,103.98
2018-12-06-14:12:38.63653,99.663346,103.953
2018-12-06-14:12:39.63689,99.60559,103.927
2018-12-06-14:12:40.63718,99.609564,103.903
2018-12-06-14:12:41.63734,99.661492,103.845
2018-12-06-14:12:42.63860,99.66626,103.835
2018-12-06-14:12:43.63898,99.662816,103.787
2018-12-06-14:12:44.63908,99.613274,103.733
2018-12-06-14:12:45.64034,99.615658,103.719
2018-12-06-14:12:46.64121,99.611684,103.687
2018-12-06-14:12:47.64135,99.607974,103.662
2018-12-06-14:12:48.64348,99.612214,103.614
2018-12-06-14:12:49.64377,99.606384,103.613
2018-12-06-14:12:50.64413,99.615128,103.59
2018-12-06-14:12:51.64432,99.613538,103.553
2018-12-06-14:12:52.64509,99.610888,103.55
2018-12-06-14:12:53.64599,99.633408,103.546
2018-12-06-14:12:54.64625,99.608504,103.514
2018-12-06-14:12:55.64752,99.661226,103.497
2018-12-06-14:12:56.64779,99.659108,103.468
2018-12-06-14:12:57.64847,99.663876,103.435
2018-12-06-14:12:58.64900,99.660962,103.412
2018-12-06-14:12:59.65017,99.663876,103.389
2018-12-06-14:13:00.65147,99.662816,103.373
2018-12-06-14:13:01.65229,99.663082,103.32
2018-12-06-14:13:02.65866,99.660432,103.29
2018-12-06-14:13:03.65986,99.658842,103.274
2018-12-06-14:13:04.66022,99.654074,103.244
2018-12-06-14:13:05.66161,99.618836,103.205
2018-12-06-14:13:06.66263,99.60559,103.196
2018-12-06-14:13:07.66937,99.611684,103.172
2018-12-06-14:13:08.67568,99.47471,103.117
2018-12-06-14:13:09.68289,99.366086,103.019
