2,0
2018-12-06-15:48:31.99127,20,20
2018-12-06-15:48:32.49243,29.44,26.632
2018-12-06-15:48:32.99261,29.44,26.632
2018-12-06-15:48:33.49294,29.44,26.627
2018-12-06-15:48:33.99394,29.44,26.627
2018-12-06-15:48:34.49500,29.44,26.627
2018-12-06-15:48:34.99528,29.44,26.632
2018-12-06-15:48:35.49618,29.44,26.617
2018-12-06-15:48:35.99657,29.44,26.617
2018-12-06-15:48:36.49671,29.44,26.614
2018-12-06-15:48:36.99756,29.44,26.633
2018-12-06-15:48:37.49831,29.44,26.633
2018-12-06-15:48:37.99858,29.43,26.64
2018-12-06-15:48:38.50024,29.43,26.63
2018-12-06-15:48:39.00229,29.43,26.63
2018-12-06-15:48:39.53483,29.97,26.667
2018-12-06-15:48:40.03629,31.09,27.051
2018-12-06-15:48:40.54076,31.09,27.051
2018-12-06-15:48:41.04149,32.33,27.705
2018-12-06-15:48:41.54215,32.33,27.705
2018-12-06-15:48:42.04272,33.57,28.591
2018-12-06-15:48:42.54303,34.8,29.529
2018-12-06-15:48:43.04377,34.8,29.529
2018-12-06-15:48:43.54399,36.04,30.618
2018-12-06-15:48:44.04489,37.27,31.703
2018-12-06-15:48:44.54515,37.27,31.703
2018-12-06-15:48:45.04617,38.46,32.864
2018-12-06-15:48:45.54726,39.73,34.013
2018-12-06-15:48:46.04804,39.73,34.013
2018-12-06-15:48:46.54849,40.88,35.23
2018-12-06-15:48:47.04950,42.12,36.441
2018-12-06-15:48:47.55049,42.12,36.441
2018-12-06-15:48:48.05077,43.34,37.663
2018-12-06-15:48:48.55091,43.34,37.663
2018-12-06-15:48:49.05105,44.55,38.895
2018-12-06-15:48:49.55126,45.72,40.106
2018-12-06-15:48:50.05229,45.72,40.106
2018-12-06-15:48:50.55276,46.89,41.354
2018-12-06-15:48:51.05360,48.08,42.583
2018-12-06-15:48:51.55383,48.08,42.583
2018-12-06-15:48:52.05413,49.29,43.855
2018-12-06-15:48:52.55502,50.47,45.109
2018-12-06-15:48:53.05532,50.47,45.109
2018-12-06-15:48:53.55605,51.64,46.387
2018-12-06-15:48:54.05678,52.82,47.614
2018-12-06-15:48:54.55706,52.82,47.614
2018-12-06-15:48:55.05751,54.0,48.892
2018-12-06-15:48:55.56112,55.25,50.145
2018-12-06-15:48:56.06172,55.25,50.145
2018-12-06-15:48:56.56234,56.42,51.423
2018-12-06-15:48:57.06256,56.42,51.423
2018-12-06-15:48:57.56301,57.55,52.639
