2,0
2018-12-06-15:03:31.19616,127.77,114.367
2018-12-06-15:03:31.69686,128.92,115.344
2018-12-06-15:03:32.19778,128.92,115.344
2018-12-06-15:03:32.69808,129.98,116.28
2018-12-06-15:03:33.19917,131.02,117.256
2018-12-06-15:03:33.70708,131.02,117.256
2018-12-06-15:03:34.20810,132.06,118.249
2018-12-06-15:03:34.70934,133.07,119.208
2018-12-06-15:03:35.20995,133.07,119.208
2018-12-06-15:03:35.71636,134.15,120.194
2018-12-06-15:03:36.21903,135.08,121.176
2018-12-06-15:03:36.74461,135.08,121.176
2018-12-06-15:03:37.25126,135.22,122.037
2018-12-06-15:03:37.77686,134.93,122.556
2018-12-06-15:03:38.28347,134.93,122.556
2018-12-06-15:03:38.79015,134.54,122.8
2018-12-06-15:03:39.30277,134.54,122.8
2018-12-06-15:03:39.81540,134.2,122.868
2018-12-06-15:03:40.32803,133.85,122.872
2018-12-06-15:03:40.83454,133.85,122.872
2018-12-06-15:03:41.34631,133.52,122.78
2018-12-06-15:03:41.85093,133.13,122.629
2018-12-06-15:03:42.35761,133.13,122.629
2018-12-06-15:03:42.87024,132.83,122.456
2018-12-06-15:03:43.37090,132.5,122.263
2018-12-06-15:03:43.87751,132.5,122.263
2018-12-06-15:03:44.38419,132.16,122.015
2018-12-06-15:03:44.89084,132.16,122.015
2018-12-06-15:03:45.39648,131.86,121.785
2018-12-06-15:03:45.90210,131.52,121.507
2018-12-06-15:03:46.41380,131.52,121.507
2018-12-06-15:03:46.92639,131.24,121.246
2018-12-06-15:03:47.43503,130.95,120.975
2018-12-06-15:03:47.94168,130.95,120.975
2018-12-06-15:03:48.45331,130.61,120.68
2018-12-06-15:03:48.95513,130.35,120.402
2018-12-06-15:03:49.46176,130.35,120.402
2018-12-06-15:03:49.96228,130.05,120.113
2018-12-06-15:03:50.46281,130.05,120.113
2018-12-06-15:03:50.96364,129.78,119.814
2018-12-06-15:03:51.46495,130.27,119.637
2018-12-06-15:03:51.96591,130.27,119.637
2018-12-06-15:03:52.46641,131.23,119.735
2018-12-06-15:03:52.96740,132.3,120.105
2018-12-06-15:03:53.46837,132.3,120.105
2018-12-06-15:03:53.96960,133.4,120.653
2018-12-06-15:03:54.47503,134.5,121.298
2018-12-06-15:03:54.97605,134.5,121.298
2018-12-06-15:03:55.47663,135.74,122.026
2018-12-06-15:03:55.98014,138.42,123.032
2018-12-06-15:03:56.48506,138.42,123.032
2018-12-06-15:03:56.98631,141.35,124.634
2018-12-06-15:03:57.48758,141.35,124.634
2018-12-06-15:03:57.98868,143.03,126.391
2018-12-06-15:03:58.48947,143.48,127.823
2018-12-06-15:03:58.99002,143.48,127.823
2018-12-06-15:03:59.49056,143.34,128.781
2018-12-06-15:03:59.99133,142.95,129.347
2018-12-06-15:04:00.49239,142.95,129.347
2018-12-06-15:04:00.99323,142.61,129.627
2018-12-06-15:04:01.49357,142.26,129.748
2018-12-06-15:04:01.99401,142.26,129.748
2018-12-06-15:04:02.49513,141.97,129.809
2018-12-06-15:04:03.00002,141.71,129.763
2018-12-06-15:04:03.50076,141.71,129.763
2018-12-06-15:04:04.00127,141.52,129.709
2018-12-06-15:04:04.50237,141.43,129.688
2018-12-06-15:04:05.00296,141.43,129.688
2018-12-06-15:04:05.50378,141.38,129.605
2018-12-06-15:04:06.00496,141.38,129.605
2018-12-06-15:04:06.50573,141.33,129.542
2018-12-06-15:04:07.00614,141.33,129.559
2018-12-06-15:04:07.50746,141.33,129.559
2018-12-06-15:04:08.00818,141.33,129.495
2018-12-06-15:04:08.50918,141.34,129.509
2018-12-06-15:04:09.00991,141.34,129.509
2018-12-06-15:04:09.51116,141.34,129.484
2018-12-06-15:04:10.01806,141.38,129.464
2018-12-06-15:04:10.51887,141.38,129.464
2018-12-06-15:04:11.01958,141.34,129.472
2018-12-06-15:04:11.52960,141.39,129.445
2018-12-06-15:04:12.03108,141.39,129.445
2018-12-06-15:04:12.53180,141.38,129.422
2018-12-06-15:04:13.03288,141.38,129.422
2018-12-06-15:04:13.53354,141.38,129.424
2018-12-06-15:04:14.03425,141.38,129.389
2018-12-06-15:04:14.53524,141.38,129.389
2018-12-06-15:04:15.03583,141.33,129.411
2018-12-06-15:04:15.53639,141.39,129.37
2018-12-06-15:04:16.03672,141.39,129.37
2018-12-06-15:04:16.53735,141.38,129.354
2018-12-06-15:04:17.03852,141.37,129.355
2018-12-06-15:04:17.53934,141.37,129.355
2018-12-06-15:04:18.04040,141.38,129.319
2018-12-06-15:04:18.54329,141.38,129.327
2018-12-06-15:04:19.04463,141.38,129.327
2018-12-06-15:04:19.54555,141.39,129.31
2018-12-06-15:04:20.05134,141.38,129.283
2018-12-06-15:04:20.55326,141.38,129.283
2018-12-06-15:04:21.05386,141.38,129.287
2018-12-06-15:04:21.55508,141.38,129.287
2018-12-06-15:04:22.05602,141.38,129.268
2018-12-06-15:04:22.55642,141.39,129.233
2018-12-06-15:04:23.05705,141.39,129.233
2018-12-06-15:04:23.55804,141.38,129.242
2018-12-06-15:04:24.05888,141.39,129.222
2018-12-06-15:04:24.55938,141.39,129.222
2018-12-06-15:04:25.05978,141.38,129.215
2018-12-06-15:04:25.56170,141.38,129.215
2018-12-06-15:04:26.06247,141.38,129.215
2018-12-06-15:04:26.56368,141.38,129.175
2018-12-06-15:04:27.07319,141.44,129.184
2018-12-06-15:04:27.57441,141.44,129.184
2018-12-06-15:04:28.07476,141.43,129.173
2018-12-06-15:04:28.57510,141.43,129.173
2018-12-06-15:04:29.07579,141.44,129.131
2018-12-06-15:04:29.57703,141.43,129.129
2018-12-06-15:04:30.07831,141.43,129.129
2018-12-06-15:04:30.57874,141.44,129.114
2018-12-06-15:04:31.07935,141.42,129.076
2018-12-06-15:04:31.58054,141.42,129.076
2018-12-06-15:04:32.08119,141.43,129.095
2018-12-06-15:04:32.58530,141.43,129.047
2018-12-06-15:04:33.08692,141.43,129.047
2018-12-06-15:04:33.58737,141.43,129.032
2018-12-06-15:04:34.08924,141.43,129.036
2018-12-06-15:04:34.59192,141.43,129.036
2018-12-06-15:04:35.09256,141.43,128.999
2018-12-06-15:04:35.59825,141.43,129.014
2018-12-06-15:04:36.10389,141.43,129.014
2018-12-06-15:04:36.60421,141.43,128.979
2018-12-06-15:04:37.10521,141.43,128.979
2018-12-06-15:04:37.60590,141.43,128.98
2018-12-06-15:04:38.10654,141.43,128.96
2018-12-06-15:04:38.60723,141.43,128.96
2018-12-06-15:04:39.13682,141.43,128.945
2018-12-06-15:04:39.63748,141.44,128.961
2018-12-06-15:04:40.13815,141.44,128.961
2018-12-06-15:04:40.63880,141.43,128.921
2018-12-06-15:04:41.13947,141.43,128.934
2018-12-06-15:04:41.64013,141.43,128.934
2018-12-06-15:04:42.14079,141.44,128.912
2018-12-06-15:04:42.64141,141.44,128.873
2018-12-06-15:04:43.14211,141.44,128.873
2018-12-06-15:04:43.64278,141.43,128.899
2018-12-06-15:04:44.14540,141.39,128.858
2018-12-06-15:04:44.64606,141.39,128.858
2018-12-06-15:04:45.14676,141.38,128.86
2018-12-06-15:04:45.64774,141.38,128.86
2018-12-06-15:04:46.14854,141.68,128.845
2018-12-06-15:04:46.64946,141.92,128.829
2018-12-06-15:04:47.15017,141.92,128.829
2018-12-06-15:04:47.65131,141.92,128.824
2018-12-06-15:04:48.15163,141.88,128.787
2018-12-06-15:04:48.67917,141.88,128.787
2018-12-06-15:04:49.18022,141.73,128.738
2018-12-06-15:04:49.68064,141.64,128.677
2018-12-06-15:04:50.18136,141.64,128.677
2018-12-06-15:04:50.68178,141.58,128.575
2018-12-06-15:04:51.19256,141.54,128.527
2018-12-06-15:04:51.69387,141.54,128.527
2018-12-06-15:04:52.19429,141.49,128.459
2018-12-06-15:04:52.69755,141.49,128.394
2018-12-06-15:04:53.19949,141.49,128.394
2018-12-06-15:04:53.70039,141.48,128.381
2018-12-06-15:04:54.20127,141.48,128.381
2018-12-06-15:04:54.70238,141.48,128.314
2018-12-06-15:04:55.20279,141.48,128.291
2018-12-06-15:04:55.70397,141.48,128.291
2018-12-06-15:04:56.20473,141.48,128.276
2018-12-06-15:04:56.70525,141.49,128.239
2018-12-06-15:04:57.20563,141.49,128.239
2018-12-06-15:04:57.70651,141.52,128.237
2018-12-06-15:04:58.20692,141.54,128.224
2018-12-06-15:04:58.70730,141.54,128.224
2018-12-06-15:04:59.20849,141.54,128.169
2018-12-06-15:04:59.70904,138.66,128.181
2018-12-06-15:05:00.21023,138.66,128.181
2018-12-06-15:05:00.71152,136.44,128.144
2018-12-06-15:05:01.21248,137.03,128.199
2018-12-06-15:05:01.72564,137.03,128.199
2018-12-06-15:05:02.22619,138.77,128.665
2018-12-06-15:05:02.72676,138.77,128.665
2018-12-06-15:05:03.22737,140.59,129.581
2018-12-06-15:05:03.72851,141.98,130.718
2018-12-06-15:05:04.22907,141.98,130.718
2018-12-06-15:05:04.72970,142.53,131.705
2018-12-06-15:05:05.23057,142.56,132.365
2018-12-06-15:05:05.73111,142.56,132.365
2018-12-06-15:05:06.23171,142.36,132.804
2018-12-06-15:05:06.73579,142.11,133.001
2018-12-06-15:05:07.23666,142.11,133.001
2018-12-06-15:05:07.73696,141.91,133.107
2018-12-06-15:05:08.24267,141.72,133.166
2018-12-06-15:05:08.74407,141.72,133.166
2018-12-06-15:05:09.24465,141.57,133.121
2018-12-06-15:05:09.74537,141.57,133.121
2018-12-06-15:05:10.24576,141.48,133.105
2018-12-06-15:05:10.74660,141.42,133.093
2018-12-06-15:05:11.24737,141.42,133.093
2018-12-06-15:05:11.74818,140.15,133.036
2018-12-06-15:05:12.24882,140.02,133.051
2018-12-06-15:05:12.74925,140.02,133.051
2018-12-06-15:05:13.25036,140.22,133.063
2018-12-06-15:05:13.75118,140.6,133.159
2018-12-06-15:05:14.25166,140.6,133.159
2018-12-06-15:05:14.75286,140.95,133.396
2018-12-06-15:05:15.25917,141.2,133.62
2018-12-06-15:05:15.76035,141.2,133.62
2018-12-06-15:05:16.26156,141.38,133.807
2018-12-06-15:05:16.76574,141.48,134.003
2018-12-06-15:05:17.26639,141.48,134.003
2018-12-06-15:05:17.76699,141.47,134.11
2018-12-06-15:05:18.26730,141.47,134.11
2018-12-06-15:05:18.76834,141.49,134.162
2018-12-06-15:05:19.26905,141.43,134.233
2018-12-06-15:05:19.76948,141.43,134.233
2018-12-06-15:05:20.27017,141.43,134.229
2018-12-06-15:05:20.77095,141.44,134.266
2018-12-06-15:05:21.27205,141.44,134.266
2018-12-06-15:05:21.77236,141.43,134.272
2018-12-06-15:05:22.27287,141.38,134.252
2018-12-06-15:05:22.77350,141.38,134.252
2018-12-06-15:05:23.27455,141.38,134.283
2018-12-06-15:05:23.79674,141.38,134.254
2018-12-06-15:05:24.30300,141.38,134.254
2018-12-06-15:05:24.80379,139.09,134.252
