No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
250,26.556,3.3538,371.23,3.25,2,-3,1,2
12,11.048,8.002,361.63,1.3,-1,0,-3,2
439,31.969,2.7972,338.27,3.79,-1,-4,3,2
629,36.428,2.4644,327.29,4.29,-5,0,1,2
287,27.65,3.2236,320.78,3.16,-3,0,6,2
806,39.143,2.2995,295.57,4.42,1,-5,3,2
801,39.105,2.3017,242.93,4,-3,-4,4,2
367,30.305,2.9469,130.3,2.22,4,-1,2,2
135,22.12,4.0154,97.64,1.38,0,3,0,2
16,11.327,7.8057,71.69,0.6,0,1,-3,2
688,37.345,2.406,50.43,1.73,0,5,1,2
