No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
840,39.796,2.2633,34001.79,48.26,5,2,2,2
223,25.563,3.4819,33233.94,29.57,1,2,7,2
745,38.205,2.3538,33008.55,45.45,-5,0,4,2
472,32.77,2.7307,32666.39,38.22,-1,2,10,2
742,38.14,2.3577,32596.42,45.07,1,-5,1,2
594,35.415,2.5325,32414.22,41.43,-2,1,11,2
418,31.368,2.8495,32201.71,36.2,-3,-3,1,2
659,36.963,2.43,31981.16,43.13,3,-4,1,2
648,36.8,2.4404,31817.7,42.81,-2,3,9,2
72,17.358,5.1047,31500.65,19.26,1,-2,2,2
634,36.657,2.4495,31007.04,42.08,3,2,9,2
492,33.039,2.7091,30931.63,37.52,3,3,4,2
56,16.512,5.3644,30874.56,18.12,-1,2,1,2
361,30.202,2.9568,30819.24,34,0,-3,7,2
368,30.308,2.9467,30431.25,33.91,-2,1,9,2
20,11.831,7.4744,30200.5,12.77,-1,-1,2,2
810,39.248,2.2936,30099.47,44.71,-5,2,0,2
206,24.686,3.6035,30073.95,27.12,0,3,4,2
449,32.205,2.7773,29992.63,35.94,-1,0,-11,2
391,30.725,2.9076,29766.82,34.04,1,-2,9,2
739,38.095,2.3603,29293.37,42.67,1,0,-13,2
170,23.429,3.7939,29229.33,25.31,1,2,6,2
499,33.147,2.7005,28387.74,36.08,-2,-1,10,2
92,18.765,4.7251,27727.02,19.58,0,-2,4,2
59,16.602,5.3356,26904.26,17.01,1,-2,1,2
624,36.29,2.4735,26364.46,38.38,5,0,0,2
601,35.578,2.5213,25444.98,36.89,-2,-3,8,2
807,39.153,2.2989,25336.4,40.91,0,-3,11,2
379,30.477,2.9307,25151.31,31.02,-1,4,0,2
86,18.383,4.8224,24845.92,18.15,0,2,4,2
183,23.743,3.7445,24652,23.57,0,-1,-8,2
712,37.726,2.3826,24139.85,38.33,-3,4,3,2
126,21.477,4.1342,23950.19,20.92,1,2,5,2
842,39.815,2.2622,23914.9,40.49,-1,4,9,2
9,10.606,8.3348,23803.67,10.15,1,1,1,2
23,13.337,6.6334,23602.52,12.74,-1,0,-4,2
721,37.947,2.3692,23598.57,38.14,1,2,12,2
386,30.627,2.9167,23541.59,30.17,-2,-1,9,2
831,39.675,2.2699,23538.76,40.02,-4,1,9,2
573,35.016,2.5605,23137.88,34.57,0,-1,-12,2
787,38.88,2.3144,22738.71,38.46,1,5,3,2
198,24.315,3.6577,22412.41,23.04,3,0,4,2
416,31.318,2.8539,22285.83,30.06,-2,3,6,2
302,28.309,3.15,22148.95,26.9,0,-3,6,2
536,34.042,2.6315,22114.14,32.78,-3,3,5,2
832,39.675,2.2699,22096.02,38.77,-5,2,2,2
133,21.821,4.0698,21958.42,20.37,1,-2,5,2
672,37.145,2.4185,21938.56,35.92,-5,1,1,2
850,39.967,2.254,21681.54,38.72,-4,-1,9,2
267,26.899,3.3118,21659.04,25.19,-2,3,2,2
389,30.668,2.9128,21602.73,28.94,1,-4,1,2
569,34.814,2.5749,21475.12,33.1,-2,3,8,2
487,32.98,2.7138,21274.08,31.06,-2,3,7,2
849,39.967,2.254,21186.01,38.27,-5,-2,2,2
524,33.571,2.6673,20865.7,31.36,3,0,9,2
350,29.903,2.9857,20555.6,27.47,-4,1,1,2
588,35.349,2.5371,20198.97,32.64,-1,2,11,2
236,26.088,3.4129,20126.71,23.51,-3,2,0,2
406,31.128,2.8708,19762.81,28.13,1,-4,2,2
125,21.474,4.1347,19533.12,18.89,-1,2,5,2
647,36.797,2.4405,19338.94,33.37,-5,0,2,2
51,16.312,5.4298,19302.77,14.15,-1,2,0,2
246,26.476,3.3638,19110.48,23.27,-2,3,1,2
306,28.479,3.1316,18631.08,24.83,3,2,4,2
605,35.746,2.5099,18427.71,31.56,-2,-1,11,2
358,30.168,2.96,18326.25,26.19,-3,-2,5,2
374,30.406,2.9374,18223.08,26.33,2,-1,9,2
419,31.386,2.8479,18022.63,27.1,3,-2,6,2
456,32.392,2.7617,17958.56,27.99,-1,4,4,2
413,31.202,2.8642,17846.27,26.79,-3,2,6,2
417,31.351,2.851,17643.56,26.78,2,3,6,2
809,39.246,2.2937,17586.93,34.17,-4,3,5,2
674,37.193,2.4155,17544.25,32.16,-3,4,2,2
589,35.355,2.5367,17498.33,30.38,-3,3,6,2
480,32.923,2.7183,17451.62,28.08,2,-1,10,2
507,33.239,2.6932,17441.21,28.36,1,-2,10,2
574,35.082,2.5558,17403.71,30.05,-1,0,-12,2
468,32.689,2.7373,17198.45,27.66,2,1,10,2
55,16.436,5.3891,16998.71,13.38,-2,-1,1,2
351,29.907,2.9853,16932.37,24.94,2,3,5,2
130,21.69,4.094,16845.13,17.73,-2,-1,5,2
550,34.483,2.5989,16808.28,28.98,-4,1,6,2
839,39.795,2.2633,16743.14,33.86,3,-4,5,2
298,27.981,3.1862,16713.43,23.08,2,-1,8,2
469,32.699,2.7365,16603.87,27.19,0,4,5,2
346,29.853,2.9906,16600.05,24.64,-2,3,5,2
360,30.184,2.9585,16304.77,24.71,2,1,9,2
233,25.94,3.4321,16220.03,20.98,-3,0,5,2
488,32.994,2.7127,16131.16,27.06,2,3,7,2
50,16.292,5.4362,16077.84,12.9,-2,1,1,2
562,34.744,2.5799,16067.64,28.57,-3,2,8,2
479,32.888,2.7212,15979.48,26.84,-3,2,7,2
727,37.993,2.3665,15848.87,31.3,-1,0,-13,2
582,35.274,2.5423,15732.86,28.74,2,1,11,2
788,38.885,2.3142,15599,31.86,2,3,10,2
257,26.746,3.3304,15578.31,21.24,-2,-3,1,2
597,35.52,2.5253,15332.96,28.59,2,-1,11,2
240,26.228,3.3951,15181.63,20.54,-3,2,1,2
4,9.162,9.6447,15028.76,6.96,0,-1,-2,2
178,23.553,3.7742,14988.64,18.22,0,3,3,2
370,30.322,2.9453,14967.78,23.8,-4,1,2,2
316,28.687,3.1094,14880.43,22.36,2,3,4,2
339,29.615,3.0141,14872.99,23.13,0,1,-10,2
57,16.583,5.3414,14815.05,12.61,1,2,1,2
722,37.952,2.3689,14788.57,30.2,3,-4,3,2
344,29.759,2.9997,14710.33,23.12,-4,1,0,2
285,27.618,3.2273,14708.85,21.35,-2,3,3,2
261,26.809,3.3228,14678.67,20.67,0,1,-9,2
276,27.266,3.2682,14663.11,21.03,-2,-3,2,2
49,16.144,5.4858,14597.43,12.17,2,1,0,2
843,39.825,2.2617,14515.29,31.56,1,4,9,2
520,33.536,2.67,14489.76,26.1,1,4,5,2
227,25.668,3.4678,14469.53,19.6,2,-1,7,2
710,37.649,2.3873,14177.55,29.31,-5,-1,2,2
245,26.467,3.365,14129.35,20,-3,-2,1,2
291,27.775,3.2094,14119.11,21.04,2,1,8,2
384,30.576,2.9214,14039.96,23.25,1,4,0,2
559,34.672,2.5851,13997.5,26.6,3,2,8,2
743,38.186,2.3549,13990.57,29.57,2,-1,12,2
660,36.988,2.4284,13983.82,28.54,3,-2,9,2
568,34.81,2.5752,13910.78,26.64,2,3,8,2
725,37.981,2.3672,13862.47,29.26,-1,4,8,2
720,37.931,2.3702,13853.99,29.21,2,1,12,2
496,33.092,2.7049,13795.37,25.1,3,-2,7,2
645,36.78,2.4416,13774.12,28.15,2,3,9,2
253,26.604,3.348,13770.94,19.86,0,-3,5,2
738,38.079,2.3613,13610.76,29.08,-2,1,12,2
531,33.807,2.6492,13565.11,25.48,-3,0,9,2
657,36.95,2.4308,13510.95,28.02,-4,-3,1,2
127,21.489,4.1318,13438.85,15.68,2,-1,5,2
619,36.049,2.4894,13409.67,27.17,-4,1,7,2
89,18.526,4.7854,13397.77,13.43,1,-2,3,2
354,30.034,2.9729,13397.27,22.28,-4,-1,1,2
177,23.492,3.7838,13371.64,17.17,2,-1,6,2
561,34.732,2.5808,13235.27,25.92,-4,-1,6,2
714,37.786,2.3789,13226.26,28.42,-4,1,8,2
81,18.283,4.8484,13142.78,13.12,-1,2,3,2
149,22.503,3.948,13123.19,16.26,-2,-2,3,2
241,26.26,3.391,13116.27,19.11,3,2,0,2
222,25.48,3.493,12945.73,18.39,2,1,7,2
132,21.747,4.0835,12903.96,15.56,-3,0,1,2
828,39.585,2.2749,12903,29.55,1,5,4,2
165,23.326,3.8104,12689.68,16.6,2,1,6,2
95,19.706,4.5015,12686.8,13.93,2,-1,4,2
2,9.076,9.7361,12641.89,6.32,-1,0,-2,2
497,33.107,2.7037,12555.72,23.96,-4,1,5,2
18,11.633,7.6008,12497.62,8.07,1,1,2,2
761,38.475,2.3379,12486.23,28.17,-3,4,4,2
667,37.113,2.4205,12053.17,26.6,3,4,1,2
191,23.956,3.7116,11939.84,16.56,-1,-2,6,2
297,27.887,3.1967,11874.13,19.38,-2,1,8,2
820,39.447,2.2825,11850.2,28.21,5,2,0,2
510,33.337,2.6855,11806.74,23.41,-4,-1,5,2
123,21.35,4.1584,11758.35,14.57,2,1,5,2
129,21.539,4.1224,11685.31,14.66,3,0,0,2
64,17.009,5.2086,11676.39,11.49,-2,1,2,2
789,38.888,2.314,11529.24,27.39,-3,2,10,2
182,23.701,3.751,11471.54,16.05,-2,-1,6,2
664,37.06,2.4238,11383.84,25.81,3,4,0,2
392,30.777,2.9029,11345.03,21.05,-1,-4,1,2
288,27.718,3.2159,11322.01,18.8,2,3,3,2
649,36.809,2.4398,11312.67,25.53,-3,4,0,2
238,26.129,3.4077,11176,17.55,-1,-2,7,2
